Date : 2021-12-19 18:35:33
Directory : d:\Github\_java\Java-stuff\1\N-Dimension
Total : 2108 files,  603194 codes, 265774 comments, 144093 blanks, all 1013061 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Python     |      2,066 |    585,572 |    264,922 |    143,178 |    993,672 |
| XSL        |          3 |      7,525 |        495 |        674 |      8,694 |
| LaTeX      |          2 |      6,340 |          0 |         32 |      6,372 |
| Java       |         27 |      2,571 |         90 |         52 |      2,713 |
| Log        |          3 |        944 |          0 |         86 |      1,030 |
| PowerShell |          1 |        104 |        262 |         34 |        400 |
| Properties |          2 |         75 |          4 |         10 |         89 |
| Batch      |          2 |         39 |          0 |         17 |         56 |
| XML        |          1 |         14 |          1 |          1 |         16 |
| Markdown   |          1 |         10 |          0 |          9 |         19 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                          |      2,108 |    603,194 |    265,774 |    144,093 |  1,013,061 |
| .output                                                                                                                                    |          5 |      7,284 |          0 |        118 |      7,402 |
| .output\ellipsoids                                                                                                                         |          3 |      3,904 |          0 |         46 |      3,950 |
| .output\platonic_solids                                                                                                                    |          2 |      3,380 |          0 |         72 |      3,452 |
| .output\platonic_solids\ncube                                                                                                              |          2 |      3,380 |          0 |         72 |      3,452 |
| bin                                                                                                                                        |         13 |        716 |          0 |          2 |        718 |
| bin\funcs                                                                                                                                  |          6 |        394 |          0 |          2 |        396 |
| bin\funcs\filesys                                                                                                                          |          5 |        367 |          0 |          2 |        369 |
| bin\funcs\filesys\tex                                                                                                                      |          4 |        326 |          0 |          1 |        327 |
| bin\funcs\filesys\tex\nd                                                                                                                   |          3 |        124 |          0 |          0 |        124 |
| bin\funcs\math                                                                                                                             |          1 |         27 |          0 |          0 |         27 |
| bin\solids                                                                                                                                 |          6 |        313 |          0 |          0 |        313 |
| bin\solids\ellipsoids                                                                                                                      |          3 |        200 |          0 |          0 |        200 |
| bin\solids\ellipsoids\nellipsoid                                                                                                           |          1 |         31 |          0 |          0 |         31 |
| bin\solids\ellipsoids\nspehre                                                                                                              |          1 |         33 |          0 |          0 |         33 |
| bin\solids\platonic_solids                                                                                                                 |          3 |        113 |          0 |          0 |        113 |
| bin\solids\platonic_solids\ncube                                                                                                           |          2 |         79 |          0 |          0 |         79 |
| env                                                                                                                                        |      2,074 |    593,468 |    265,683 |    143,909 |  1,003,060 |
| env\Lib                                                                                                                                    |      2,070 |    593,322 |    265,421 |    143,857 |  1,002,600 |
| env\Lib\site-packages                                                                                                                      |      2,070 |    593,322 |    265,421 |    143,857 |  1,002,600 |
| env\Lib\site-packages\_distutils_hack                                                                                                      |          2 |         79 |         19 |         33 |        131 |
| env\Lib\site-packages\mpmath                                                                                                               |         86 |     31,783 |     23,133 |      3,564 |     58,480 |
| env\Lib\site-packages\mpmath\calculus                                                                                                      |         10 |      2,165 |      3,981 |        326 |      6,472 |
| env\Lib\site-packages\mpmath\functions                                                                                                     |         13 |      7,218 |      2,948 |        470 |     10,636 |
| env\Lib\site-packages\mpmath\libmp                                                                                                         |          9 |      6,184 |      1,827 |        702 |      8,713 |
| env\Lib\site-packages\mpmath\matrices                                                                                                      |          6 |      2,183 |      2,311 |        522 |      5,016 |
| env\Lib\site-packages\mpmath\tests                                                                                                         |         36 |      9,632 |        739 |        800 |     11,171 |
| env\Lib\site-packages\pip                                                                                                                  |        389 |    108,300 |     24,445 |     14,567 |    147,312 |
| env\Lib\site-packages\pip\_internal                                                                                                        |        141 |     17,629 |      5,635 |      4,254 |     27,518 |
| env\Lib\site-packages\pip\_internal\cli                                                                                                    |         12 |      1,899 |        416 |        429 |      2,744 |
| env\Lib\site-packages\pip\_internal\commands                                                                                               |         17 |      2,312 |        355 |        505 |      3,172 |
| env\Lib\site-packages\pip\_internal\distributions                                                                                          |          5 |        127 |         46 |         42 |        215 |
| env\Lib\site-packages\pip\_internal\index                                                                                                  |          4 |      1,086 |        412 |        248 |      1,746 |
| env\Lib\site-packages\pip\_internal\locations                                                                                              |          4 |        510 |        156 |        129 |        795 |
| env\Lib\site-packages\pip\_internal\metadata                                                                                               |          3 |        269 |         96 |         81 |        446 |
| env\Lib\site-packages\pip\_internal\models                                                                                                 |         11 |        672 |        212 |        190 |      1,074 |
| env\Lib\site-packages\pip\_internal\network                                                                                                |          8 |        841 |        333 |        225 |      1,399 |
| env\Lib\site-packages\pip\_internal\operations                                                                                             |         13 |      1,554 |        433 |        352 |      2,339 |
| env\Lib\site-packages\pip\_internal\operations\build                                                                                       |          5 |        178 |         36 |         48 |        262 |
| env\Lib\site-packages\pip\_internal\operations\install                                                                                     |          4 |        639 |        204 |        145 |        988 |
| env\Lib\site-packages\pip\_internal\req                                                                                                    |          7 |      1,995 |        501 |        402 |      2,898 |
| env\Lib\site-packages\pip\_internal\resolution                                                                                             |         13 |      1,854 |        471 |        404 |      2,729 |
| env\Lib\site-packages\pip\_internal\resolution\legacy                                                                                      |          2 |        273 |        124 |         58 |        455 |
| env\Lib\site-packages\pip\_internal\resolution\resolvelib                                                                                  |          9 |      1,568 |        347 |        339 |      2,254 |
| env\Lib\site-packages\pip\_internal\utils                                                                                                  |         29 |      2,198 |      1,106 |        673 |      3,977 |
| env\Lib\site-packages\pip\_internal\vcs                                                                                                    |          6 |      1,075 |        534 |        223 |      1,832 |
| env\Lib\site-packages\pip\_vendor                                                                                                          |        246 |     90,652 |     18,793 |     10,303 |    119,748 |
| env\Lib\site-packages\pip\_vendor\cachecontrol                                                                                             |         13 |        738 |        268 |        265 |      1,271 |
| env\Lib\site-packages\pip\_vendor\cachecontrol\caches                                                                                      |          3 |        111 |         33 |         40 |        184 |
| env\Lib\site-packages\pip\_vendor\certifi                                                                                                  |          3 |         41 |         31 |         22 |         94 |
| env\Lib\site-packages\pip\_vendor\chardet                                                                                                  |         43 |     36,105 |      1,493 |        507 |     38,105 |
| env\Lib\site-packages\pip\_vendor\chardet\cli                                                                                              |          2 |         43 |         31 |         13 |         87 |
| env\Lib\site-packages\pip\_vendor\chardet\metadata                                                                                         |          2 |        242 |         61 |          9 |        312 |
| env\Lib\site-packages\pip\_vendor\colorama                                                                                                 |          6 |        552 |         97 |        124 |        773 |
| env\Lib\site-packages\pip\_vendor\distlib                                                                                                  |         19 |      9,665 |      3,300 |      1,755 |     14,720 |
| env\Lib\site-packages\pip\_vendor\distlib\_backport                                                                                        |          6 |      2,698 |      1,030 |        566 |      4,294 |
| env\Lib\site-packages\pip\_vendor\html5lib                                                                                                 |         33 |     10,414 |      1,470 |      1,392 |     13,276 |
| env\Lib\site-packages\pip\_vendor\html5lib\_trie                                                                                           |          3 |         77 |          2 |         36 |        115 |
| env\Lib\site-packages\pip\_vendor\html5lib\filters                                                                                         |          8 |      1,088 |        192 |         96 |      1,376 |
| env\Lib\site-packages\pip\_vendor\html5lib\treeadapters                                                                                    |          3 |         82 |         32 |         23 |        137 |
| env\Lib\site-packages\pip\_vendor\html5lib\treebuilders                                                                                    |          5 |      1,003 |        222 |        259 |      1,484 |
| env\Lib\site-packages\pip\_vendor\html5lib\treewalkers                                                                                     |          6 |        556 |        165 |        149 |        870 |
| env\Lib\site-packages\pip\_vendor\idna                                                                                                     |          8 |     10,792 |        146 |        204 |     11,142 |
| env\Lib\site-packages\pip\_vendor\msgpack                                                                                                  |          5 |        928 |        312 |        148 |      1,388 |
| env\Lib\site-packages\pip\_vendor\packaging                                                                                                |         11 |      1,748 |        646 |        574 |      2,968 |
| env\Lib\site-packages\pip\_vendor\pep517                                                                                                   |         11 |        963 |        323 |        266 |      1,552 |
| env\Lib\site-packages\pip\_vendor\pep517\in_process                                                                                        |          2 |        226 |         78 |         64 |        368 |
| env\Lib\site-packages\pip\_vendor\pkg_resources                                                                                            |          2 |      1,847 |        903 |        571 |      3,321 |
| env\Lib\site-packages\pip\_vendor\progress                                                                                                 |          4 |        214 |         56 |         86 |        356 |
| env\Lib\site-packages\pip\_vendor\requests                                                                                                 |         18 |      2,611 |      1,659 |        895 |      5,165 |
| env\Lib\site-packages\pip\_vendor\resolvelib                                                                                               |          7 |        437 |        254 |        147 |        838 |
| env\Lib\site-packages\pip\_vendor\resolvelib\compat                                                                                        |          2 |          5 |          0 |          3 |          8 |
| env\Lib\site-packages\pip\_vendor\tenacity                                                                                                 |         11 |        785 |        343 |        307 |      1,435 |
| env\Lib\site-packages\pip\_vendor\tomli                                                                                                    |          3 |        495 |        202 |         98 |        795 |
| env\Lib\site-packages\pip\_vendor\urllib3                                                                                                  |         39 |      6,539 |      3,009 |      1,802 |     11,350 |
| env\Lib\site-packages\pip\_vendor\urllib3\contrib                                                                                          |         10 |      1,891 |        684 |        479 |      3,054 |
| env\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport                                                                         |          3 |        597 |        170 |        151 |        918 |
| env\Lib\site-packages\pip\_vendor\urllib3\packages                                                                                         |          6 |        877 |        204 |        242 |      1,323 |
| env\Lib\site-packages\pip\_vendor\urllib3\packages\backports                                                                               |          2 |         38 |         11 |          4 |         53 |
| env\Lib\site-packages\pip\_vendor\urllib3\packages\ssl_match_hostname                                                                      |          2 |        101 |         60 |         25 |        186 |
| env\Lib\site-packages\pip\_vendor\urllib3\util                                                                                             |         12 |      1,475 |        843 |        392 |      2,710 |
| env\Lib\site-packages\pip\_vendor\webencodings                                                                                             |          5 |        768 |        244 |        103 |      1,115 |
| env\Lib\site-packages\pkg_resources                                                                                                        |         17 |      6,590 |      4,325 |      1,731 |     12,646 |
| env\Lib\site-packages\pkg_resources\_vendor                                                                                                |         14 |      4,711 |      3,410 |      1,155 |      9,276 |
| env\Lib\site-packages\pkg_resources\_vendor\packaging                                                                                      |         11 |      1,570 |        803 |        550 |      2,923 |
| env\Lib\site-packages\pkg_resources\extern                                                                                                 |          1 |         46 |         15 |         13 |         74 |
| env\Lib\site-packages\pkg_resources\tests                                                                                                  |          1 |          6 |          0 |          1 |          7 |
| env\Lib\site-packages\pkg_resources\tests\data                                                                                             |          1 |          6 |          0 |          1 |          7 |
| env\Lib\site-packages\pkg_resources\tests\data\my-test-package-source                                                                      |          1 |          6 |          0 |          1 |          7 |
| env\Lib\site-packages\setuptools                                                                                                           |        122 |     24,710 |     13,270 |      6,003 |     43,983 |
| env\Lib\site-packages\setuptools\_distutils                                                                                                |         54 |     10,070 |      4,548 |      2,344 |     16,962 |
| env\Lib\site-packages\setuptools\_distutils\command                                                                                        |         24 |      4,301 |      1,269 |        922 |      6,492 |
| env\Lib\site-packages\setuptools\_vendor                                                                                                   |         17 |      6,176 |      5,833 |      1,599 |     13,608 |
| env\Lib\site-packages\setuptools\_vendor\more_itertools                                                                                    |          3 |      1,612 |      2,371 |        469 |      4,452 |
| env\Lib\site-packages\setuptools\_vendor\packaging                                                                                         |         11 |      1,570 |        803 |        550 |      2,923 |
| env\Lib\site-packages\setuptools\command                                                                                                   |         25 |      4,148 |        978 |        890 |      6,016 |
| env\Lib\site-packages\setuptools\extern                                                                                                    |          1 |         46 |         15 |         13 |         74 |
| env\Lib\site-packages\sympy                                                                                                                |      1,453 |    421,722 |    200,055 |    117,928 |    739,705 |
| env\Lib\site-packages\sympy\algebras                                                                                                       |          4 |        390 |        466 |        122 |        978 |
| env\Lib\site-packages\sympy\algebras\tests                                                                                                 |          2 |        162 |         12 |         47 |        221 |
| env\Lib\site-packages\sympy\assumptions                                                                                                    |         36 |      6,749 |      3,238 |      1,487 |     11,474 |
| env\Lib\site-packages\sympy\assumptions\handlers                                                                                           |          7 |      1,815 |        380 |        427 |      2,622 |
| env\Lib\site-packages\sympy\assumptions\predicates                                                                                         |          7 |        262 |      1,222 |        105 |      1,589 |
| env\Lib\site-packages\sympy\assumptions\relation                                                                                           |          3 |        188 |        273 |         68 |        529 |
| env\Lib\site-packages\sympy\assumptions\tests                                                                                              |          9 |      2,824 |         97 |        511 |      3,432 |
| env\Lib\site-packages\sympy\benchmarks                                                                                                     |          4 |        385 |         13 |         72 |        470 |
| env\Lib\site-packages\sympy\calculus                                                                                                       |         10 |      1,693 |      1,529 |        385 |      3,607 |
| env\Lib\site-packages\sympy\calculus\tests                                                                                                 |          5 |        772 |         35 |        159 |        966 |
| env\Lib\site-packages\sympy\categories                                                                                                     |          6 |      2,136 |      2,059 |        541 |      4,736 |
| env\Lib\site-packages\sympy\categories\tests                                                                                               |          3 |        859 |         83 |        187 |      1,129 |
| env\Lib\site-packages\sympy\codegen                                                                                                        |         29 |      2,888 |      2,279 |        922 |      6,089 |
| env\Lib\site-packages\sympy\codegen\tests                                                                                                  |         13 |      1,436 |         91 |        367 |      1,894 |
| env\Lib\site-packages\sympy\combinatorics                                                                                                  |         43 |     11,533 |     11,810 |      1,831 |     25,174 |
| env\Lib\site-packages\sympy\combinatorics\tests                                                                                            |         21 |      3,686 |        363 |        652 |      4,701 |
| env\Lib\site-packages\sympy\concrete                                                                                                       |         14 |      3,878 |      2,086 |        891 |      6,855 |
| env\Lib\site-packages\sympy\concrete\tests                                                                                                 |          6 |      2,006 |        191 |        489 |      2,686 |
| env\Lib\site-packages\sympy\core                                                                                                           |         79 |     32,134 |     13,593 |      8,622 |     54,349 |
| env\Lib\site-packages\sympy\core\benchmarks                                                                                                |          7 |        103 |          1 |         98 |        202 |
| env\Lib\site-packages\sympy\core\tests                                                                                                     |         39 |     17,150 |      1,024 |      5,418 |     23,592 |
| env\Lib\site-packages\sympy\crypto                                                                                                         |          4 |      1,126 |      2,524 |        315 |      3,965 |
| env\Lib\site-packages\sympy\crypto\tests                                                                                                   |          2 |        438 |          9 |        117 |        564 |
| env\Lib\site-packages\sympy\diffgeom                                                                                                       |          8 |      1,371 |      1,322 |        315 |      3,008 |
| env\Lib\site-packages\sympy\diffgeom\tests                                                                                                 |          5 |        444 |         43 |        106 |        593 |
| env\Lib\site-packages\sympy\discrete                                                                                                       |          8 |        731 |        635 |        314 |      1,680 |
| env\Lib\site-packages\sympy\discrete\tests                                                                                                 |          4 |        414 |         15 |        151 |        580 |
| env\Lib\site-packages\sympy\external                                                                                                       |         11 |      1,160 |        427 |        340 |      1,927 |
| env\Lib\site-packages\sympy\external\tests                                                                                                 |          7 |        829 |        178 |        244 |      1,251 |
| env\Lib\site-packages\sympy\functions                                                                                                      |         58 |     22,553 |     11,358 |      5,330 |     39,241 |
| env\Lib\site-packages\sympy\functions\combinatorial                                                                                        |          6 |      2,553 |      1,506 |        550 |      4,609 |
| env\Lib\site-packages\sympy\functions\combinatorial\tests                                                                                  |          3 |      1,061 |         39 |        223 |      1,323 |
| env\Lib\site-packages\sympy\functions\elementary                                                                                           |         19 |     11,955 |      3,316 |      2,712 |     17,983 |
| env\Lib\site-packages\sympy\functions\elementary\benchmarks                                                                                |          2 |          6 |          0 |          6 |         12 |
| env\Lib\site-packages\sympy\functions\elementary\tests                                                                                     |          9 |      5,534 |        340 |      1,476 |      7,350 |
| env\Lib\site-packages\sympy\functions\special                                                                                              |         32 |      7,965 |      6,530 |      2,043 |     16,538 |
| env\Lib\site-packages\sympy\functions\special\benchmarks                                                                                   |          2 |          5 |          0 |          5 |         10 |
| env\Lib\site-packages\sympy\functions\special\tests                                                                                        |         15 |      3,202 |         84 |        886 |      4,172 |
| env\Lib\site-packages\sympy\geometry                                                                                                       |         22 |      6,024 |      7,966 |      1,232 |     15,222 |
| env\Lib\site-packages\sympy\geometry\tests                                                                                                 |         11 |      2,578 |        228 |        500 |      3,306 |
| env\Lib\site-packages\sympy\holonomic                                                                                                      |          8 |      2,653 |        917 |        714 |      4,284 |
| env\Lib\site-packages\sympy\holonomic\tests                                                                                                |          3 |        718 |         39 |         89 |        846 |
| env\Lib\site-packages\sympy\integrals                                                                                                      |         85 |     71,491 |      7,724 |     30,913 |    110,128 |
| env\Lib\site-packages\sympy\integrals\benchmarks                                                                                           |          3 |         17 |          0 |         17 |         34 |
| env\Lib\site-packages\sympy\integrals\rubi                                                                                                 |         49 |     58,220 |      1,333 |     27,739 |     87,292 |
| env\Lib\site-packages\sympy\integrals\rubi\parsetools                                                                                      |          6 |        679 |        154 |        133 |        966 |
| env\Lib\site-packages\sympy\integrals\rubi\parsetools\tests                                                                                |          2 |         83 |         23 |         23 |        129 |
| env\Lib\site-packages\sympy\integrals\rubi\rubi_tests                                                                                      |         16 |      9,358 |        184 |        322 |      9,864 |
| env\Lib\site-packages\sympy\integrals\rubi\rubi_tests\tests                                                                                |         15 |      9,358 |        174 |        321 |      9,853 |
| env\Lib\site-packages\sympy\integrals\rubi\rules                                                                                           |         19 |     33,454 |         72 |     21,988 |     55,514 |
| env\Lib\site-packages\sympy\integrals\rubi\tests                                                                                           |          3 |      1,737 |         10 |        392 |      2,139 |
| env\Lib\site-packages\sympy\integrals\tests                                                                                                |         17 |      5,570 |        459 |      1,418 |      7,447 |
| env\Lib\site-packages\sympy\interactive                                                                                                    |          8 |        692 |        538 |        171 |      1,401 |
| env\Lib\site-packages\sympy\interactive\tests                                                                                              |          4 |        188 |         73 |         44 |        305 |
| env\Lib\site-packages\sympy\liealgebras                                                                                                    |         26 |      1,091 |        862 |        263 |      2,216 |
| env\Lib\site-packages\sympy\liealgebras\tests                                                                                              |         13 |        201 |          1 |         29 |        231 |
| env\Lib\site-packages\sympy\logic                                                                                                          |         14 |      3,218 |      2,512 |        744 |      6,474 |
| env\Lib\site-packages\sympy\logic\algorithms                                                                                               |          5 |        457 |        484 |        120 |      1,061 |
| env\Lib\site-packages\sympy\logic\tests                                                                                                    |          4 |      1,289 |        253 |        284 |      1,826 |
| env\Lib\site-packages\sympy\logic\utilities                                                                                                |          2 |         36 |         22 |         17 |         75 |
| env\Lib\site-packages\sympy\matrices                                                                                                       |         91 |     17,382 |     10,674 |      4,726 |     32,782 |
| env\Lib\site-packages\sympy\matrices\benchmarks                                                                                            |          2 |         11 |          0 |         11 |         22 |
| env\Lib\site-packages\sympy\matrices\expressions                                                                                           |         50 |      5,907 |      1,930 |      1,638 |      9,475 |
| env\Lib\site-packages\sympy\matrices\expressions\tests                                                                                     |         26 |      2,654 |        154 |        842 |      3,650 |
| env\Lib\site-packages\sympy\matrices\tests                                                                                                 |         18 |      6,251 |        466 |      1,357 |      8,074 |
| env\Lib\site-packages\sympy\multipledispatch                                                                                               |          9 |        684 |        279 |        283 |      1,246 |
| env\Lib\site-packages\sympy\multipledispatch\tests                                                                                         |          4 |        365 |         21 |        176 |        562 |
| env\Lib\site-packages\sympy\ntheory                                                                                                        |         30 |      5,254 |      4,485 |        899 |     10,638 |
| env\Lib\site-packages\sympy\ntheory\tests                                                                                                  |         15 |      1,485 |        188 |        256 |      1,929 |
| env\Lib\site-packages\sympy\parsing                                                                                                        |         52 |     14,534 |      4,899 |      2,380 |     21,813 |
| env\Lib\site-packages\sympy\parsing\autolev                                                                                                |         23 |      2,886 |      3,245 |        443 |      6,574 |
| env\Lib\site-packages\sympy\parsing\autolev\_antlr                                                                                         |          4 |        656 |      2,969 |        157 |      3,782 |
| env\Lib\site-packages\sympy\parsing\autolev\test-examples                                                                                  |         16 |        536 |          0 |         35 |        571 |
| env\Lib\site-packages\sympy\parsing\autolev\test-examples\pydy-example-repo                                                                |          4 |        154 |          0 |         11 |        165 |
| env\Lib\site-packages\sympy\parsing\c                                                                                                      |          2 |        551 |        451 |         89 |      1,091 |
| env\Lib\site-packages\sympy\parsing\fortran                                                                                                |          2 |        155 |        176 |         25 |        356 |
| env\Lib\site-packages\sympy\parsing\latex                                                                                                  |          7 |      3,782 |         78 |        921 |      4,781 |
| env\Lib\site-packages\sympy\parsing\latex\_antlr                                                                                           |          3 |      3,219 |         30 |        806 |      4,055 |
| env\Lib\site-packages\sympy\parsing\tests                                                                                                  |         12 |      6,098 |        275 |        631 |      7,004 |
| env\Lib\site-packages\sympy\physics                                                                                                        |        186 |     34,875 |     23,815 |      8,183 |     66,873 |
| env\Lib\site-packages\sympy\physics\continuum_mechanics                                                                                    |          4 |      1,923 |      1,978 |        437 |      4,338 |
| env\Lib\site-packages\sympy\physics\continuum_mechanics\tests                                                                              |          2 |        591 |         45 |        130 |        766 |
| env\Lib\site-packages\sympy\physics\control                                                                                                |          6 |      2,060 |      2,763 |        545 |      5,368 |
| env\Lib\site-packages\sympy\physics\control\tests                                                                                          |          3 |      1,166 |         75 |        259 |      1,500 |
| env\Lib\site-packages\sympy\physics\hep                                                                                                    |          4 |        626 |        333 |        164 |      1,123 |
| env\Lib\site-packages\sympy\physics\hep\tests                                                                                              |          2 |        289 |         34 |         82 |        405 |
| env\Lib\site-packages\sympy\physics\mechanics                                                                                              |         30 |      4,384 |      3,389 |      1,051 |      8,824 |
| env\Lib\site-packages\sympy\physics\mechanics\tests                                                                                        |         17 |      2,402 |        549 |        558 |      3,509 |
| env\Lib\site-packages\sympy\physics\optics                                                                                                 |         12 |      1,092 |      1,976 |        259 |      3,327 |
| env\Lib\site-packages\sympy\physics\optics\tests                                                                                           |          6 |        386 |         13 |         58 |        457 |
| env\Lib\site-packages\sympy\physics\quantum                                                                                                |         70 |     15,057 |      6,925 |      3,334 |     25,316 |
| env\Lib\site-packages\sympy\physics\quantum\tests                                                                                          |         35 |      7,796 |        675 |      1,104 |      9,575 |
| env\Lib\site-packages\sympy\physics\tests                                                                                                  |          9 |      1,529 |        107 |        339 |      1,975 |
| env\Lib\site-packages\sympy\physics\units                                                                                                  |         24 |      2,967 |        637 |        843 |      4,447 |
| env\Lib\site-packages\sympy\physics\units\definitions                                                                                      |          3 |        495 |         56 |        136 |        687 |
| env\Lib\site-packages\sympy\physics\units\systems                                                                                          |          7 |        441 |         83 |        179 |        703 |
| env\Lib\site-packages\sympy\physics\units\tests                                                                                            |          8 |        753 |         41 |        279 |      1,073 |
| env\Lib\site-packages\sympy\physics\vector                                                                                                 |         17 |      3,526 |      2,795 |        757 |      7,078 |
| env\Lib\site-packages\sympy\physics\vector\tests                                                                                           |          9 |      1,751 |        124 |        365 |      2,240 |
| env\Lib\site-packages\sympy\plotting                                                                                                       |         37 |      6,011 |      2,879 |      1,352 |     10,242 |
| env\Lib\site-packages\sympy\plotting\intervalmath                                                                                          |          8 |      1,303 |        152 |        285 |      1,740 |
| env\Lib\site-packages\sympy\plotting\intervalmath\tests                                                                                    |          4 |        603 |         17 |        162 |        782 |
| env\Lib\site-packages\sympy\plotting\pygletplot                                                                                            |         19 |      2,218 |        756 |        541 |      3,515 |
| env\Lib\site-packages\sympy\plotting\pygletplot\tests                                                                                      |          2 |         58 |          2 |         28 |         88 |
| env\Lib\site-packages\sympy\plotting\tests                                                                                                 |          5 |        859 |         75 |        190 |      1,124 |
| env\Lib\site-packages\sympy\polys                                                                                                          |        149 |     44,267 |     22,670 |     15,273 |     82,210 |
| env\Lib\site-packages\sympy\polys\agca                                                                                                     |         10 |      1,691 |      1,575 |        508 |      3,774 |
| env\Lib\site-packages\sympy\polys\agca\tests                                                                                               |          5 |        659 |         21 |        171 |        851 |
| env\Lib\site-packages\sympy\polys\benchmarks                                                                                               |          4 |        560 |         12 |         65 |        637 |
| env\Lib\site-packages\sympy\polys\domains                                                                                                  |         36 |      3,850 |      2,112 |      1,364 |      7,326 |
| env\Lib\site-packages\sympy\polys\domains\tests                                                                                            |          4 |      1,075 |          9 |        262 |      1,346 |
